Time (s),Packet Inter-arrival (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
0,0,0.45,1.564,0,0,0,0,0
0,0.057,0.45,1.564,0,0,0,0,0
0,0.044,0.45,1.564,0,0,0,0,0
0,35.623,0.45,1.564,0,0,0,0,0
0,1.467,0.45,1.564,0,0,0,0,0
0,0.081,0.45,1.564,0,0,0,0,0
0,0.196,0.45,1.564,0,0,0,0,0
0,0.333,0.45,1.564,0,0,0,0,0
0,0.115,0.45,1.564,0,0,0,0,0
0,0.227,0.45,1.564,0,0,0,0,0
0,0.21,0.45,1.564,0,0,0,0,0
0,0.228,0.45,1.564,0,0,0,0,0
0,0.644,0.45,1.564,0,0,0,0,0
0,0.201,0.45,1.564,0,0,0,0,0
0,0.231,0.45,1.564,0,0,0,0,0
0,0.227,0.45,1.564,0,0,0,0,0
0,0.242,0.45,1.564,0,0,0,0,0
0,0.037,0.45,1.564,0,0,0,0,0
0,26.337,0.45,1.564,0,0,0,0,0
0,8.457,0.45,1.564,0,0,0,0,0
0,3.171,0.45,1.564,0,0,0,0,0
0,0.655,0.45,1.564,0,0,0,0,0
0,0.231,0.45,1.564,0,0,0,0,0
0,0.245,0.45,1.564,0,0,0,0,0
0,0.212,0.45,1.564,0,0,0,0,0
0,0.239,0.45,1.564,0,0,0,0,0
0,0.182,0.45,1.564,0,0,0,0,0
0,0.213,0.45,1.564,0,0,0,0,0
0,0.241,0.45,1.564,0,0,0,0,0
0,0.613,0.45,1.564,0,0,0,0,0
0,0.205,0.45,1.564,0,0,0,0,0
0,0.224,0.45,1.564,0,0,0,0,0
0,0.217,0.45,1.564,0,0,0,0,0
0,0.124,0.45,1.564,0,0,0,0,0
0,8.354,0.45,1.564,0,0,0,0,0
0,1.343,0.45,1.564,0,0,0,0,0
0,12.781,0.45,1.564,0,0,0,0,0
0,16.929,0.45,1.564,0,0,0,0,0
0,0.624,0.45,1.564,0,0,0,0,0
0,0.225,0.45,1.564,0,0,0,0,0
0,0.217,0.45,1.564,0,0,0,0,0
0,0.237,0.45,1.564,0,0,0,0,0
0,0.264,0.45,1.564,0,0,0,0,0
0,0.471,0.45,1.564,0,0,0,0,0
0,0.045,0.45,1.564,0,0,0,0,0
0,0.103,0.45,1.564,0,0,0,0,0
0,0.599,0.45,1.564,0,0,0,0,0
0,0.203,0.45,1.564,0,0,0,0,0
0,0.13,0.45,1.564,0,0,0,0,0
0,37.384,0.45,1.564,0,0,0,0,0
0,0.65,0.45,1.564,0,0,0,0,0
0,0.223,0.45,1.564,0,0,0,0,0
0,0.212,0.45,1.564,0,0,0,0,0
0,0.232,0.45,1.564,0,0,0,0,0
0,0.209,0.45,1.564,0,0,0,0,0
0,0.238,0.45,1.564,0,0,0,0,0
0,0.773,0.45,1.564,0,0,0,0,0
0,0.073,0.45,1.564,0,0,0,0,0
0,0.188,0.45,1.564,0,0,0,0,0
0,0.237,0.45,1.564,0,0,0,0,0
0,0.194,0.45,1.564,0,0,0,0,0
0,0.099,0.45,1.564,0,0,0,0,0
0,9.705,0.45,1.564,0,0,0,0,0
0,17.109,0.45,1.564,0,0,0,0,0
0,10.147,0.45,1.564,0,0,0,0,0
0,1.458,0.45,1.564,0,0,0,0,0
0,2.213,0.45,1.564,0,0,0,0,0
0,0.208,0.45,1.564,0,0,0,0,0
0,0.266,0.45,1.564,0,0,0,0,0
0,0.176,0.45,1.564,0,0,0,0,0
0,0.22,0.45,1.564,0,0,0,0,0
0,0.225,0.45,1.564,0,0,0,0,0
0,0.624,0.45,1.564,0,0,0,0,0
0,0.23,0.45,1.564,0,0,0,0,0
0,0.207,0.45,1.564,0,0,0,0,0
0,0.227,0.45,1.564,0,0,0,0,0
0,0.229,0.45,1.564,0,0,0,0,0
0,0.211,0.45,1.564,0,0,0,0,0
0,27.388,0.45,1.564,0,0,0,0,0
0,9.246,0.45,1.564,0,0,0,0,0
0,0.559,0.45,1.564,0,0,0,0,0
0,0.162,0.45,1.564,0,0,0,0,0
0,0.198,0.45,1.564,0,0,0,0,0
0,0.209,0.45,1.564,0,0,0,0,0
0,0.216,0.45,1.564,0,0,0,0,0
0,0.652,0.45,1.564,0,0,0,0,0
0,0.236,0.45,1.564,0,0,0,0,0
0,0.207,0.45,1.564,0,0,0,0,0
0,0.216,0.45,1.564,0,0,0,0,0
0,0.224,0.45,1.564,0,0,0,0,0
0,0.22,0.45,1.564,0,0,0,0,0
