Time (s),Packet Interval (ms),avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
0,0,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,4.357,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,9.521,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,24.21,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,27.704,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,11.905,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,20.534,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,4.567,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,26.485,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,1.505,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.285,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,37.437,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,14.24,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,56.897,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,33.617,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,74.609,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,13.393,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,27.653,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,21.423,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,27.738,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,9.134,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,18.896,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,21.025,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,30.388,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,10.232,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,20.304,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,50.904,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,12.113,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,40.428,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,49.484,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,11.681,0.533846154,0.311538462,0.146923077,0,0.373076923,0
1,0.092,0.533846154,0.311538462,0.146923077,0,0.373076923,0
